name,address,latitude,longitude,google_maps_link,waze_link,operating_hours,google_geocoded_latitude,google_geocoded_longitude
Subway TTDI,"Lvl1, Petronas Svs Station TTDI,Lot29395 & 29396, Pinggir Zaaba, Taman Tun Dr Ismail, Kuala Lumpur, 60000",3.141958,101.625217,https://goo.gl/maps/YEfiHZ8j8dx16xoo6,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-pinggir-zaaba-taman-tun?place=ChIJuRYqITBJzDER76oB2espXlU,"Monday - Sunday, 8:30 AM - 9:00 PM",3.146165,101.6254046
Subway Menara Aras Jaya,"LG Floor, Menara Bumiputra Commerce, No 11, Jalan Raja Laut, 50350 Kuala Lumpur",3.155606,101.695688,https://goo.gl/maps/8qH3VyCpgLbH5pEj7,"https://www.waze.com/en/live-map/directions/subway-cimb-cimb-11-jalan-raja-laut,-lower-ground-floor-kuala-lumpur?place=w.66650144.666501436.27395039","Monday - Friday, 8:00 AM – 9:00PM | Saturday & Sunday, 10:00 AM – 7:00PM",3.1551486,101.6952541
Subway Tesco Kepong,"Tesco Kepong Village Mall, Lot No. 14, 1st Floor, No. 3 Jalan 7A/62A Bandar Manjalara, Kuala Lumpur, 52200",3.194423,101.633699,https://goo.gl/maps/oU5kc3t5wmcpUGtSA,"https://www.waze.com/en/live-map/directions/subway-lotuss-kepong-village-lot-no.-14,-1st-floor,-lotuss-kepong-village-mall-kuala-lumpur?place=w.66584608.666042687.27399057","Monday - Sunday, 10:15 AM - 9:30 PM",3.1950817,101.6329131
Subway Jalan Ipoh,"No. 447, Jalan Ipoh, Batu 3, Taman Million, 51200 Kuala Lumpur",3.178158,101.685121,https://goo.gl/maps/btJSCMofMMihpJRA8,"https://www.waze.com/en/live-map/directions/subway-rivercity-village-468-1(1),-ground-floor,-block-f-rivercity-village-kuala-lumpur?place=w.66650144.666370366.16193787","Monday - Sunday, 8:00 AM - 10:00 PM",3.1835055,101.6819301
Subway Southgate,"Pusat Komersial Southgate, No. 2, Jalan Dua, Unit E-1-6, Off Jalan Chan Sow Lin, Lvl 1, Kuala Lumpur, 55200",3.124517,101.710679,https://goo.gl/maps/WPKWSDFH6QTSFEzt7,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-southgate-commercial-center?place=ChIJd4K2SBw2zDERvbRfvxkCiEw,"Monday - Sunday, 8:00 AM - 9:00 PM",3.121953,101.7134458
Subway Brem Mall,"G-06, Brem Mall, Jalan Kepong, Kepong, Kuala Lumpur, 52000",3.204461,101.6676,https://goo.gl/maps/ixd6eBBJFt3ptX1UA,"https://www.waze.com/en/live-map/directions/subway-brem-mall-g-06,-brem-mall,-jalan-kepong,-kepong-kuala-lumpur?place=w.66650144.666304832.27401872","Monday - Sunday, 8:00 AM - 10:00 PM",3.2044953,101.6674289
Subway Festival City,"Setapak Central Mall, Lot S-23, No. 67 Jalan Taman Ibu Kota, Taman Danau Kota, Setapak, Kuala Lumpur, 53200",3.204575,101.72053,https://goo.gl/maps/EhNGb1r5cTRCiUTTA,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-setapak-central-mall?place=ChIJ6fjTnRE4zDEReW77Yg4uqrY,"Monday - Sunday, 10:00 AM - 10:00 PM",3.205435,101.7199889
Subway Aeon Big Wangsamaju,"Aeon Big Wangsa Maju, F1-09, First Floor, Jalan 8/27A, Section 5, Wangsa Maju, 53300 Kuala Lumpur.",3.196496,101.743179,https://goo.gl/maps/PMnJ1nRd6GL6LVPk6,"https://www.waze.com/en/live-map/directions/subway-aeon-big-wangsa-maju-f1-09,-first-floor,-aeon-big-wangsa-maju,-wangsa-maju-kuala-lumpur?place=w.66650144.666763584.27401144","Monday - Sunday, 10:00 AM - 10:00 PM",3.1970119,101.7454081
Subway Endah Parade,"Endah Parade Shopping Complex, Lot G-013A, Ground Floor, Jalan 1/149E, Kuala Lumpur, 57000",3.063303,101.695198,https://goo.gl/maps/eSC3DWQ6sKboa1D36,"https://www.waze.com/en/live-map/directions/subway-endah-parade-endah-parade-shopping-complex,-kuala-lumpur?place=w.66650143.666501426.27401582","Monday - Sunday, 8:00 AM - 10:00 PM",3.063303,101.6951981
Subway TBS,"Unit L4-29, 4th Floor, Terminal Bersepadu Selatan, Bandar Tasik Selatan, Kuala Lumpur, 57100",3.078001,101.710922,https://goo.gl/maps/r3USk9b93eNr1TkG7,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-tbs?place=ChIJAVz8DF81zDERXWs-EKFOIF8,"Monday - Sunday, 10:00 AM – 8:00PM | Friday, 9:00 AM – 9:00PM",3.0780526,101.7110798
Subway KWC (Kenanga),"KWC Fashion Mall, No.2, Jalan Gelugor, Lot G-08, Kuala Lumpur, 55200",3.136102,101.708431,https://goo.gl/maps/5rg46qgzYbT2UM8z5,https://www.waze.com/en/live-map/directions/subway-kwc-fashion-mall-lot-g-08-kwc-fashion-mall-kuala-lumpur?place=w.66650143.666566970.27400904,"Monday - Sunday, 10:00 AM - 8:00 PM",3.1367328,101.7078259
Subway Selayang 18,"Lot 3.06, 3rd Floor vendor letter SH-15-G,Grd Floor,Selayang, Kuala Lumpur, 68000 , Batu Caves, 68100",3.255174,101.654411,https://goo.gl/maps/i2QQ7Ff7eHcUybTm8,https://www.waze.com/en/live-map/directions/subway-selayang-18-persiaran-3-batu-caves?place=w.66650145.666173766.21949236,"Monday - Sunday, 8:00 AM - 9:00 PM",3.2378844,101.6840385
Subway Sime Darby Parkcity,"Sime Darby Parkcity, CP Retail 2, No. 2 Jalan Intisari, Perdana Desa Parkcity, Kuala Lumpur, 52200",3.189334,101.638541,https://goo.gl/maps/KvVvurUummy7UmRo8,"https://www.waze.com/en/live-map/directions/subway-desa-park-city-sime-darby-parkcity,-cp-retail-2-kuala-lumpur?place=w.66584608.666108223.14350474","Monday - Sunday, 8:00 AM - 9:30 PM",3.1890642,101.6378278
Subway TM,"Lower Ground 1 (LG1), Menara TM, Jalan Pantai Baharu, 50672 Kuala Lumpur",3.116129,101.665866,https://goo.gl/maps/99qoAm1VgoDNiQBV6,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-menara-tm?place=ChIJ97qHTY1JzDEREeRr6wtfSts,"Monday, 10:00 AM – 8:00PM | Tuesday - Thursday, 8:00 AM – 8:00PM | Friday, 8:20 AM – 8:00PM | Saturday, 9:00 AM – 9:00PM | Sunday, Closed",3.1161294,101.665866
Subway Sri Gombak,"No. G100, Jalan Prima SG3/2, Taman Prima, Sri Gombak, Kuala Lumpur, 68100",3.237666,101.700343,https://goo.gl/maps/DDzQCbAiq6i4A3w26,https://www.waze.com/en/live-map/directions/my/selangor/batu-caves/subway?place=ChIJi5BmZXtHzDER519jKGFtoFk,"Monday - Sunday, 8:00 AM - 10:30 PM",3.2376664,101.700343
"Subway Trillium, Lake Fields","No.66, Jalan Tasik Utama 7, Medan Niaga Tasik Damai, (Trillium) Lake Field, Sg Besi, Kuala Lumpur, 57000",3.05989,101.710432,https://goo.gl/maps/QEj3kknLjVUWQGqX8,"https://waze.com/ul?ll=3.059890,101.710432","Monday - Sunday, 8:30 AM - 10:00 PM",3.057444,101.71787
Subway Ikon Connaught,"Ikon Connaught, G-02A & Alfresco GA-02A, Ground Floor, Jalan Cerdas, Taman Connaught, Kuala Lumpur, 56100",3.081465,101.731419,https://goo.gl/maps/72CcjY4XW8UwsZYo7,https://www.waze.com/en/live-map/directions/subway-ikon-connaught-lot-g-02a-ikon-connaught-kuala-lumpur?place=w.66650143.666698036.27398136,"Monday - Sunday, 10:00 AM - 8:00 PM",3.0814646,101.7314185
Subway Ativo Plaza,"Ativo Plaza, #1 Jalan PJU 9/1, Damansara Ave, B-G-2, Block B, Bandar Sri Damansara, Kuala Lumpur, 52200",3.196263,101.616271,https://goo.gl/maps/N52hsWT8pQvwf5VH9,https://www.waze.com/en/live-map/directions/subway-ativo-plaza-jalan-pju-91-kuala-lumpur?place=w.66584608.665977152.5632979,"Monday - Saturday, 8:30 AM – 10:00PM | Sunday, 8:30 AM – 9:30PM",3.1967245,101.6162782
Subway Quill City (LG),"Quill City Mall, LG-02, No. 1018, Jalan Sultan Ismail, Kuala Lumpur , 50250",3.159488,101.70017,https://goo.gl/maps/yVFrjrWUzqd2pf8b8,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-quill-city-mall?place=ChIJl7-7OS9IzDERa282ngJCTKs,"Monday - Sunday, 10:00 AM - 10:00 PM",3.1598664,101.7000562
Subway OUG,"A1-07 Jalan 1/52, Taman OUG Parklane Off Jalan Klang Lama 58200 Kuala Lumpur",3.074779,101.661593,https://goo.gl/maps/3Bb8VLRj2YDf3Pd16,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-oug-parklane?place=ChIJW9BS3nlLzDERdemjQm9QkBE,"Monday - Sunday, 9:00 AM - 10:00 PM",3.0866541,101.6732758
Subway Sri Petaling,"No. 53, Jalan Radin Bagus, 57000 Sri Petaling, Kuala Lumpur",3.070392,101.695026,https://goo.gl/maps/t1FVkNRaSXPnS5Rg9,https://www.waze.com/en/live-map/directions/subway-sri-petaling-jalan-radin-bagus-53-kuala-lumpur?place=w.66650143.666435891.12280737,"Monday - Sunday, 8:00 AM - 10:00 PM",3.0703916,101.6950263
Subway Aeon Alpha Angle,"AEON Alpha Angle Shopping Ctr, Lot F37A, Jalan R1, Seksyen 1, Bandar Baru Wangsa Maju, Kuala Lumpur, 53300",3.201844,101.731845,https://goo.gl/maps/JPTXrWWV6HJ9ukHS8,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-aeon-alpha-angle?place=ChIJKfuHkjw4zDERcBLnlBYSXNw,"Monday - Sunday, 10:00 AM - 10:00 PM",3.2021198,101.7341702
Subway My Town,"Lot B1-07 & B1-08, Level Basement 1, MyTOWN Shopping Centre, Jalan Cochrane, Seksyen 90, Kuala Lumpur, 55100",3.134863,101.722843,https://goo.gl/maps/A15xWaoETnt9qoXg9,"https://www.waze.com/en/live-map/directions/subway-mytown-shopping-centre-b1-07-and-b1-08,-mytown-shopping-centre,-55100-kuala-lumpur?place=w.66650143.666632505.27397019","Monday - Sunday, 10:00 AM - 10:00 PM",3.1499222,101.6944619
Subway Great Eastern Mall,"Great Eastern Mall, Lot 4C Lower Ground Floor, No 303 Jalan Ampang, Kuala Lumpur, 50450",3.160073,101.736901,https://goo.gl/maps/uBgU1Kgcog1Pc6Cy5,"https://www.waze.com/en/live-map/directions/subway-great-eastern-mall-great-eastern-mall,-lot-4c-lower-ground-floor-kuala-lumpur?place=w.66650144.666763580.27398397","Monday - Friday, 8:30 AM – 8:30PM | Saturday & Sunday, 9:30 AM – 8:30PM",3.1600725,101.7369013
Subway NU Sentral,"L4.13, Level Four, NU Sentral, No. 201 Jalan Tun Sambanthan, Kuala Lumpur, 50470",3.133075,101.687034,https://goo.gl/maps/DN5m5aDK6W3p1MA87,"https://www.waze.com/en/live-map/directions/subway-nu-sentral-l4.13,-level-four,-nu-sentral-kuala-lumpur?place=w.66650143.666435897.27398085","Monday - Sunday, 9:00 AM - 9:00 PM",3.133294,101.6871504
Subway Sunway Putra,"Lot 4-60 & 4-79A, Fourth Floor, Sunway Putra Mall, No. 100, Jalan Putra, 50350 Kuala Lumpur",3.166426,101.692419,https://goo.gl/maps/Yj92g7xCixib3oJs7,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-sunway-putra-mall?place=ChIJZ9G0hjxIzDERadDFIQqD8Ck,"Monday - Sunday, 10:00 AM - 10:00 PM",3.1665524,101.6924341
Subway Melawati Mall,"L3-22, Third Floor, Melawati Mall, UP2-01, Melawati Mall, 355, Jalan Bandar Melawati, Pusat Bandar Melawati, 53100 Kuala Lumpur",3.211379,101.748677,https://goo.gl/maps/Dt3KDZhJdaQgB33x8,"https://www.waze.com/en/live-map/directions/subway-melawati-mall-lot-l3-22-melawati-mall,-ampang-kuala-lumpur?place=w.66650144.666829121.27398467","Monday - Sunday, 10:00 AM - 10:00 PM",3.2109589,101.7487551
Subway Taman Melati,"No. 71-G Jalan Melati Utama 4, Taman Melati Utama, 53100 Setapak, Kuala Lumpur",3.222755,101.731182,https://goo.gl/maps/muYtg6TkxqrufSB1A,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-taman-melati?place=ChIJO6zeoZQ5zDERd8uBXlgh8CE,"Monday - Sunday, 7:30 AM - 10:00 PM",3.222755,101.731182
